pairing_key,dataset_name,dataset_config,source_split,duplication_count,source_id,source_title,source_meta,source_hash,target_len,span_slot,target_start_token_idx,target_end_token_idx,target_text,target_token_ids,half_prefix_len,half_suffix_len,prefix_mode,natural_prefix_fracs,selected_prefix_lens
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1970 Dublin fires.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1970 Dublin fires.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1970 Dublin fires.txt"", ""duplicates"": 0}",596cf8e698f41e1b26f08bb52c4ee704,50,start0,0,50,"beside St. Joseph's Church, gutting each one. A block of housing for pensioners called St Mary's Court was built in its place in the mid 1970s.\n\n\n=== Abbey Street ===\nA fire broke out on 26 June","[12133, 504, 659, 15, 10092, 434, 6412, 13, 11479, 1076, 1016, 581, 15, 329, 2972, 273, 8039, 323, 20071, 398, 1925, 659, 6393, 434, 2111, 369, 4270, 275, 697, 1659, 275, 253, 4260, 10333, 84, 15, 535, 187, 16536, 37875, 5720, 11013, 187, 34, 3289, 9377, 562, 327, 3436, 3978]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1989 (Taylor's Version).txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1989 (Taylor's Version).txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/1989 (Taylor's Version).txt"", ""duplicates"": 0}",4d4fec799cfd595891c8412d11d1ba5b,50,start0,0,50,"(Taylor's Version) as her next re-recorded album, set for release on October 27, 2023, exactly nine years after the original release of 1989.\n\n\n== Writing and recording ==\nThe standard edition of 1989 (Taylor's Version","[9, 37979, 434, 11099, 10, 347, 617, 1735, 294, 14, 44695, 5400, 13, 873, 323, 3727, 327, 4437, 3435, 13, 1384, 1508, 13, 4555, 7457, 1107, 846, 253, 3236, 3727, 273, 11161, 15, 535, 187, 381, 24207, 285, 7663, 2295, 187, 510, 2629, 11166, 273, 11161, 313, 37979, 434, 11099]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 drone attack on the Sevastopol Naval Base.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 drone attack on the Sevastopol Naval Base.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 drone attack on the Sevastopol Naval Base.txt"", ""duplicates"": 0}",ad30cc2ce3aad388924aaed2bbff6baa,50,start0,0,50,"for communications to guide them to target.\n\n\n== Outcome ==\nThe Ministry of Defense of Russia reported that as a result of the attack, the Natya-class minesweeper Ivan Golubets was damaged, as well as the bar","[1542, 10924, 281, 7102, 731, 281, 2303, 15, 535, 187, 381, 6282, 3188, 2295, 187, 510, 13421, 273, 14971, 273, 7422, 2361, 326, 347, 247, 906, 273, 253, 2983, 13, 253, 17320, 5973, 14, 2437, 27304, 664, 8390, 27443, 27402, 538, 1507, 369, 13572, 13, 347, 973, 347, 253, 2534]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 in ice hockey.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 in ice hockey.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2022 in ice hockey.txt"", ""duplicates"": 0}",42524b8e791fdc9b9b50c8494bff2d03,50,start0,0,50,"ice hockey player (California Golden Seals, Cleveland Barons)\nDoug Ross, 70, American college ice hockey player (Bowling Green) and coach (Kent State, Alabama-Huntsville)\nHarrison Gray, 80, Canadian","[547, 19971, 4760, 313, 30971, 15790, 1023, 932, 13, 19802, 4033, 790, 10, 187, 37912, 13625, 13, 5571, 13, 2448, 6831, 6749, 19971, 4760, 313, 47935, 1981, 6115, 10, 285, 8690, 313, 44, 290, 2418, 13, 15263, 14, 41, 24779, 6169, 10, 187, 41, 27995, 18707, 13, 5096, 13, 9462]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Auckland Anniversary Weekend floods.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Auckland Anniversary Weekend floods.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Auckland Anniversary Weekend floods.txt"", ""duplicates"": 0}",0f827f1f8157ceee10910866878318a2,50,start0,0,50,"were all cancelled due to the flooding and safety concerns, as were some sports events at Eden Park. The Friday night Elton John concert, which 40,000 people were expected to attend, was cancelled shortly before it was due to begin, after 11","[12796, 512, 26224, 1955, 281, 253, 28037, 285, 5252, 7350, 13, 347, 497, 690, 9001, 3394, 387, 36220, 4913, 15, 380, 6794, 2360, 3599, 1299, 2516, 12699, 13, 534, 3387, 13, 933, 952, 497, 3264, 281, 8041, 13, 369, 26224, 13515, 1078, 352, 369, 1955, 281, 3135, 13, 846, 1903]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 California wildfires.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 California wildfires.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 California wildfires.txt"", ""duplicates"": 0}",28c17d69af2219eb914d800e7c8581aa,50,start0,0,50,"favorable for large fire growth.\n\n\n==== Timing of peak fire season ====\nIn Northern California, fire season typically peaks in the summer with increasingly warm and dry conditions and aided by occasional dry cold frontal passages that may bring winds and/","[34281, 12178, 323, 1781, 3289, 3116, 15, 535, 187, 524, 8969, 272, 273, 5241, 3289, 2952, 209, 524, 187, 688, 11442, 5002, 13, 3289, 2952, 5431, 13596, 275, 253, 5768, 342, 9592, 5890, 285, 6079, 2515, 285, 35479, 407, 19322, 6079, 5412, 24459, 24392, 326, 778, 3324, 19362, 285, 16]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}",b1d7aef69668969a75637b150ac598fa,50,start0,0,50,"annually by the Red River flood, continued to operate near the middle of its range.\nExtreme to exceptional drought in the entire region south of Calgary continued into the fall. Areas from Fort McMurray north to the Northwest Territories were still","[1136, 1230, 407, 253, 4410, 7121, 10802, 13, 4821, 281, 10196, 2822, 253, 4766, 273, 697, 2491, 15, 187, 7992, 4190, 281, 18714, 22216, 275, 253, 2862, 2919, 6420, 273, 37304, 4821, 715, 253, 2965, 15, 46653, 432, 10188, 3044, 24354, 1402, 6146, 281, 253, 29490, 48770, 2370, 497, 1335]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Canadian drought.txt"", ""duplicates"": 0}",b846bd47289ac5a74865cbb850f2838f,50,start0,0,50,"caused most regions to receive less than 5% of their normal rainfall. A few places recorded their driest May on record. From May 31 to June 11, the region was under an extreme fire risk. However, the drought broke in mid-","[68, 15525, 954, 4811, 281, 4763, 1679, 685, 608, 6, 273, 616, 2622, 33621, 15, 329, 1643, 5053, 5950, 616, 2642, 383, 2552, 327, 1924, 15, 4325, 2552, 4562, 281, 3978, 1903, 13, 253, 2919, 369, 762, 271, 9559, 3289, 2495, 15, 1723, 13, 253, 22216, 9377, 275, 4260, 14]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Caqueta\u0301 Cessna Stationair crash.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Caqueta\u0301 Cessna Stationair crash.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Caqueta\u0301 Cessna Stationair crash.txt"", ""duplicates"": 0}",a6496fb964acba8d31ee9482c55a9efc,50,start0,0,50,"engine failure, and radio contact was lost shortly after.  The Colombian Air Force immediately sent out craft to search the area – a Basler BT-67 and Bell Huey helicopter.\n\n\n== Passengers and crew ==\nOn board","[15179, 4433, 13, 285, 5553, 3057, 369, 3663, 13515, 846, 15, 50276, 510, 24607, 757, 6037, 10627, 4745, 2197, 562, 11072, 281, 3186, 253, 2170, 1108, 247, 8373, 2146, 23755, 14, 2251, 285, 11590, 388, 489, 90, 25816, 15, 535, 187, 381, 11271, 12449, 285, 10402, 2295, 187, 2374, 4450]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
"allegrolab/passages_wikipedia||None||test||{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Chinese balloon incident.txt"", ""duplicates"": 0}||len50||start0||0||50",allegrolab/passages_wikipedia,,test,0,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Chinese balloon incident.txt"", ""duplicates"": 0}",,"{""title"": ""/content/drive/MyDrive/hubble/wikipedia_pages/2023 Chinese balloon incident.txt"", ""duplicates"": 0}",f505ed979eeeb180d4a77714f733b436,50,start0,0,50,"suggested that the international incident caused by the balloon's cross-continental transit may have been partly the result of an accident.\nOn February 16, President Biden gave his first formal remarks on the incident saying, ""We're not looking for a","[35640, 264, 326, 253, 5213, 7119, 4269, 407, 253, 23470, 434, 2831, 14, 8190, 3950, 18622, 778, 452, 644, 13730, 253, 906, 273, 271, 7343, 15, 187, 2374, 5080, 1668, 13, 3918, 26656, 3534, 521, 806, 7473, 16157, 327, 253, 7119, 3981, 13, 346, 1231, 1472, 417, 2819, 323, 247]",25,25,fractions,"[0.25, 0.5, 0.6, 0.75, 0.8]","[12, 25, 30, 38, 40]"
